,Aldoc_class,Cadps2_class,Calb2_class,Col25a1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Slc6a1_class,Sncg_class,Sst_class,Trp53i11_class,Zero
Id2,0.6763276826442156,1.9930246008126613,2.5393332398018447,0.9619650920698797,0.6742023558109026,1.50542324254514,1.5403013061660518,0.26149717087084806,1.378710716434248,1.4665087575071696,1.3580559540049513,0.2945610332733837,1.1709007863678682,1.1297159242219976,1.6241398630808561,1.8127296281542538,0.9909140362348652,1.4240587701861758,1.5257232261016083,1.953365831177062,3.1813479513848355,1.6237404873232015,1.3058488065771279,0.6625336267412818,0.11464854936933358
Kcnk2,0.13028980807697885,0.28366098187694566,0.0017853051577017998,0.12295885676385773,0.0644804577540236,0.20621665032557576,0.15236824735063603,0.5524594698649575,0.11510573687437356,0.25360056774400014,0.2531921272187248,0.11288754565702916,0.10552049308681007,0.24951593026136998,0.31002291832305895,0.03586125134829699,0.15553655660759824,0.23578928458891235,0.07095365670928797,0.21002073594852017,0.11692690478117797,0.09822786640832624,0.19414543323260036,0.10387800098371386,0.00035701865131745067
Kctd12,1.982683401552894,1.6451454533246257,0.6465755683285936,1.8743237450026042,0.1206223514643937,1.2433623121693957,0.8157191173280697,2.205016018319091,2.199920275692659,1.696039548576073,0.9405721524500941,0.2737669627769014,2.213638715607743,1.2851637739873307,2.2947456882974966,0.4549809730040873,1.1113738851394788,3.768597831598651,0.8007415123542097,0.9479672443068081,3.1584634365566187,0.40796862567794423,0.917438283297124,1.407232271873195,0.12119045465880246
Kit,1.4740258830406754,0.29125919072043976,0.553620185590167,1.650684277240372,0.061641195265424366,2.232613420329086,0.7658755334325041,0.9960456929427778,0.6451782558289981,1.6927093316328035,0.09971116722638741,0.1623717736193855,0.9706382234385502,1.2040532263551285,0.576291258226765,0.2694614378700277,0.33670591797202254,0.01800204872754844,0.17441143846927037,0.3698238617680733,3.965106942436874,0.06570988481604022,1.2980243421913908,0.7031142091464502,0.03093206602314991
Lamp5,0.1720402531125148,0.26239653834897203,0.261386479223198,0.5062127816425268,0.21904938859675482,0.11336212836021517,0.24696936720039794,0.5959088418181743,0.10132418225138932,0.17550053651929112,1.0385054119541406,0.16618593200676332,0.16912323717736633,0.4641811460971809,0.0678899938598598,0.10746235635216406,0.14660440673884342,0.3848571630728841,0.5942202047174265,0.3129368288986691,0.42039630998112737,0.042823749064143796,0.11335051275992629,0.2831289690388541,0.009409217748597645
Lhx6,12.053430879856666,7.441343485386099,2.9479679562254173,8.867960601366862,4.071343328845048,11.004253554029905,1.2869569509474847,18.93283564371873,8.13304113328414,14.098720015246421,1.1697381023858568,0.4357533471507437,8.800813569098176,9.91950606878597,4.807994062631299,2.1491752257984302,16.745313497654045,15.083585256110204,1.0053376064625668,4.393322084292598,18.58491112452473,1.9963581126877976,10.376668541412444,3.3849378545071716,0.16711282487674145
Lhx8,0.9571945713553368,0.235168520697505,0.07379313605201664,0.10448289830428173,1.2606901617985724,0.2293792644635491,0.03613143421970981,1.2194094861683185,0.27237587915968337,0.3909876040621432,0.06932541576131182,0.060799755852292026,0.44725598632618335,1.2256390541778366,0.009437161143506609,0.08928590205530466,0.7741338234327332,0.8752764715685388,0.04092821725005226,0.8981926158002503,0.6725097843269671,2.0394954318272958,0.5640722705346428,0.9717614605668277,0.00575363938961491
Meis2,0.4515756458460774,0.6757383155184089,0.4239983660632631,0.4395649760131906,0.25495154179525226,0.228166204773088,1.0643026888098661,0.5801681088857491,0.8402059449191204,0.379438878702348,0.6612454704799879,0.27492276461914517,0.394185484641765,0.6053229022970484,0.44979586903628843,0.16705121273510634,0.2434247583593146,0.2537952901848214,0.3109534046439192,0.45307958422806927,0.5594156406874501,0.9295453300702142,0.24462535411092506,1.4855826432983505,0.03863211256033012
Napb,0.4365474447395585,0.571537819855012,0.16638263132281153,0.23027643437531226,0.5708549273648696,0.32042307248676805,0.30859757449245445,0.7584593938227892,0.5165916313360305,0.4120365888276326,0.2653440211591731,0.19328887202182699,0.5097867570861591,0.9123582045821816,0.2685490116497794,0.07030597384487156,0.24014153523970314,1.0458436380958656,0.2574457356477317,0.5489689348962646,0.5082788223288334,0.26168102097990037,0.1791477374857633,1.1754066401337186,0.028974660890621243
Ndnf,0.011750231340459941,0.024744112814683424,0.31555849853083046,0.0001432490810666534,0.12961387042440808,0.12628922670338869,0.02212128644523651,0.26473784960635677,0.14465383822387484,0.06642459472659608,0.25814581998509645,0.021735766799069852,0.1228118940585816,0.6809600677113288,0.16187403094163869,0.04188584729932265,0.03503363020416907,0.2739271674501528,0.049274545941113405,0.20137027043541764,0.2157394968422706,0.09715377104710334,0.1415534337734783,0.19217132652615568,0.020015936398018998
